object name,library name,text,rodata,data,bss,code,flash,ram
ql_power.c.obj,..\..\components\ql-kernel\libs\liboql_api_power.a,3946,839,56,41,4785,4841,97
quec_modem_interface.c.obj,..\..\components\ql-kernel\libs\libq_modem.a,860,285,0,32,1145,1145,32
ql_adc.c.obj,..\..\components\ql-kernel\libs\libql_api_adc.a,400,45,2,0,445,447,2
ql_api_camera.c.obj,..\..\components\ql-kernel\libs\libql_api_camera.a,2856,529,0,28,3385,3385,28
ql_log.c.obj,..\..\components\ql-kernel\libs\libql_api_common.a,648,114,1,113,762,763,114
ql_api_datacall.c.obj,..\..\components\ql-kernel\libs\libql_api_datacall.a,13836,3052,126,1602,16888,17014,1728
ql_api_dev.c.obj,..\..\components\ql-kernel\libs\libql_api_dev.a,2096,414,11,4,2510,2521,15
ql_api_fota.c.obj,..\..\components\ql-kernel\libs\libql_api_fota.a,2208,791,2,0,2999,3001,2
ql_fs.c.obj,..\..\components\ql-kernel\libs\libql_api_fs.a,6044,1250,0,0,7294,7294,0
ql_fs_handler.c.obj,..\..\components\ql-kernel\libs\libql_api_fs.a,3352,752,188,20,4104,4292,208
ql_ftp_client.c.obj,..\..\components\ql-kernel\libs\libql_api_ftp.a,3802,234,0,0,4036,4036,0
ql_ftp_parse.c.obj,..\..\components\ql-kernel\libs\libql_api_ftp.a,3378,510,8,0,3888,3896,8
ql_gpio.c.obj,..\..\components\ql-kernel\libs\libql_api_gpio.a,3096,316,0,384,3412,3412,384
ql_http_client.c.obj,..\..\components\ql-kernel\libs\libql_api_http.a,2764,210,0,4,2974,2974,4
ql_i2c.c.obj,..\..\components\ql-kernel\libs\libql_api_i2c.a,1464,140,36,0,1604,1640,36
ql_keypad.c.obj,..\..\components\ql-kernel\libs\libql_api_keypad.a,456,100,36,0,556,592,36
ql_lcd.c.obj,..\..\components\ql-kernel\libs\libql_api_lcd.a,4030,298,5,14,4328,4333,19
ql_mqttclient.c.obj,..\..\components\ql-kernel\libs\libql_api_mqtt.a,3584,283,0,24,3867,3867,24
ql_nvitem.c.obj,..\..\components\ql-kernel\libs\libql_api_nvitem.a,1232,273,0,0,1505,1505,0
ql_api_nw.c.obj,..\..\components\ql-kernel\libs\libql_api_nw.a,17040,6990,223,1120,24030,24253,1343
ql_api_plmnlist.c.obj,..\..\components\ql-kernel\libs\libql_api_nw.a,268,3417,156,0,3685,3841,156
ql_api_osi.c.obj,..\..\components\ql-kernel\libs\libql_api_osi.a,4624,438,8,36,5062,5070,44
quec_event.c.obj,..\..\components\ql-kernel\libs\libql_api_osi.a,2470,869,4,20,3339,3343,24
ql_led.c.obj,..\..\components\ql-kernel\libs\libql_api_pwm.a,164,0,0,5,164,164,5
ql_pwm.c.obj,..\..\components\ql-kernel\libs\libql_api_pwm.a,496,118,192,0,614,806,192
ql_api_rtc.c.obj,..\..\components\ql-kernel\libs\libql_api_rtc.a,1552,311,76,28,1863,1939,104
ql_api_sim.c.obj,..\..\components\ql-kernel\libs\libql_api_sim.a,4922,853,50,12,5775,5825,62
ql_api_sms.c.obj,..\..\components\ql-kernel\libs\libql_api_sms.a,7418,678,0,20,8096,8096,20
ql_sms_utf.c.obj,..\..\components\ql-kernel\libs\libql_api_sms.a,1310,280,0,0,1590,1590,0
ql_api_spi.c.obj,..\..\components\ql-kernel\libs\libql_api_spi.a,3624,532,0,96,4156,4156,96
ql_api_spi6_ext_nor_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi6_ext_nor_flash.a,108,16,0,0,124,124,0
ql_api_spi_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_flash.a,280,76,0,20,356,356,20
ql_api_spi_nand_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_nand_flash.a,1792,188,32,0,1980,2012,32
ql_api_spi_nor_flash.c.obj,..\..\components\ql-kernel\libs\libql_api_spi_nor_flash.a,2442,270,8,12,2712,2720,20
ql_uart.c.obj,..\..\components\ql-kernel\libs\libql_api_uart.a,4884,1106,84,276,5990,6074,360
ql_usb.c.obj,..\..\components\ql-kernel\libs\libql_api_usb.a,806,268,24,16,1074,1098,40
ql_api_virt_at.c.obj,..\..\components\ql-kernel\libs\libql_api_virt_at.a,1364,256,0,44,1620,1620,44
ql_wifi_scan.c.obj,..\..\components\ql-kernel\libs\libql_api_wifiscan.a,4054,923,56,8,4977,5033,64
ql_ssl_ctx.c.obj,..\..\components\ql-kernel\libs\libql_apptcpip.a,1454,0,0,4992,1454,1454,4992
quec_at_app_init.c.obj,..\..\components\ql-kernel\libs\libql_at.a,8,0,0,0,8,8,0
quec_atcmd_general.c.obj,..\..\components\ql-kernel\libs\libql_at.a,9464,2315,373,16,11779,12152,389
quec_atcmd_hw.c.obj,..\..\components\ql-kernel\libs\libql_at.a,1236,218,0,0,1454,1454,0
quec_atcmd_network.c.obj,..\..\components\ql-kernel\libs\libql_at.a,17390,3166,24,1480,20556,20580,1504
quec_atcmd_qcfg.c.obj,..\..\components\ql-kernel\libs\libql_at.a,7224,2420,265,2,9644,9909,267
quec_atcmd_qdbgcfg.c.obj,..\..\components\ql-kernel\libs\libql_at.a,4718,1352,289,19,6070,6359,308
quec_atcmd_sim.c.obj,..\..\components\ql-kernel\libs\libql_at.a,1140,267,0,0,1407,1407,0
quec_atcmd_spi6nor.c.obj,..\..\components\ql-kernel\libs\libql_at.a,152,37,0,0,189,189,0
quec_msg_process.c.obj,..\..\components\ql-kernel\libs\libql_at.a,516,138,0,8,654,654,8
quec_at_engine.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,168,17,0,0,185,185,0
quec_at_param.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,1908,1,0,0,1909,1909,0
quec_atc_adapter.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,104,0,0,0,104,104,0
quec_atc_parser.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,5632,6111,0,3804,11743,11743,3804
quec_atresp.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,1352,5057,0,16,6409,6409,16
quec_data_engine.c.obj,..\..\components\ql-kernel\libs\libql_at_table.a,1904,416,0,40,2320,2320,40
quec_camera.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,480,61,9,1,541,550,10
quec_dispatch.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,1446,191,0,4,1637,1637,4
quec_led_task.c.obj,..\..\components\ql-kernel\libs\libql_bsp.a,356,89,8,4,445,453,12
base64.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,552,89,0,0,641,641,0
conncache.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,1436,182,0,0,1618,1618,0
connect.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,3648,782,0,0,4430,4430,0
content_encoding.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,4,0,0,0,4,4,0
curl_addrinfo.c.obj,..\..\components\ql-kernel\libs\libql_curl.a,730,0,0,0,730,730,0
